ID,Lon,Lat
Boophis_luteus_14_FJ559336_ZCMV4910_,47.4336,-21.2123
Boophis_luteus_14_FJ559338_ZCMV4920_,47.4336,-21.2123
Boophis_luteus_14_FJ559349_ZSM1089_2007,47.4336,-21.2123
Boophis_luteus_14_KF609757_ZCMV9512_,1,-1
Boophis_luteus_14_KF609765_ZCMV10269_,1,-1
Boophis_luteus_14_KF609766_ZCMV10270_,1,-1
Boophis_luteus_14_KF609778_ZCMV9944_,47.35,-21.5
Boophis_luteus_14_KF609781_ZCMV9955_,47.35,-21.5
Boophis_luteus_3_AY848486_ZCMV583_,47.3964,-21.3201
Boophis_luteus_3_FJ559324_T0058_,47.4336,-21.2123
Boophis_luteus_3_FJ559327_ZCMV1385_,47.4336,-21.2123
Boophis_luteus_3_FJ559329_ZCMV4233_,47.4336,-21.2123
Boophis_luteus_3_FJ559332_ZCMV4904_,47.4336,-21.2123
Boophis_luteus_3_FJ559342_ZCMV5091_,47.4336,-21.2123
Boophis_luteus_3_FJ559343_ZCMV5095_,47.4336,-21.2123
Boophis_luteus_3_FJ559344_ZCMV5099_,47.4336,-21.2123
Boophis_luteus_3_FJ559345_ZCMV5100_,47.4336,-21.2123
Boophis_luteus_3_FJ559346_ZCMV5115_,47.4336,-21.2123
Boophis_luteus_3_FJ559347_ZCMV5136_,47.4336,-21.2123
Boophis_luteus_3_FJ559348_ZCMV5148_,47.4336,-21.2123
Boophis_luteus_3_FJ559351_ZSM849_2007,47.4336,-21.2123
Boophis_luteus_3_KF609747_ZCMV9623_,47.4262167,-21.2438667
Boophis_luteus_3_KF609748_ZCMV9629_,47.4262167,-21.2438667
Boophis_luteus_3_KF609749_ZCMV9632_,47.4262167,-21.2438667
Boophis_luteus_3_KF609750_ZCMV9638_,47.4262167,-21.2438667
Boophis_luteus_3_KF609751_ZCMV9639_,47.4262167,-21.2438667
Boophis_luteus_3_KF609752_T08_0146_,1,-1
Boophis_luteus_3_KF609753_ZCMV9488_,1,-1
Boophis_luteus_3_KF609755_ZCMV9504_,1,-1
Boophis_luteus_3_KF609756_ZCMV9505_,1,-1
Boophis_luteus_3_KF609758_ZCMV9198_,1,-1
Boophis_luteus_3_KF609759_ZCMV9152_,1,-1
Boophis_luteus_3_KF609761_ZCMV9710_,47.5225472,-21.2353194
Boophis_luteus_3_KF609762_ZCMV9723_,47.5225472,-21.2353194
Boophis_luteus_3_KF609764_ZCMV9139_,47.416667,-21.25
Boophis_luteus_3_KF609769_ZCMV9254_,47.4078833,-21.2654667
Boophis_luteus_3_KF609770_ZCMV9898_,47.35,-21.5
Boophis_luteus_3_KF609771_ZCMV9899_,47.35,-21.5
Boophis_luteus_3_KF609772_ZCMV9913_,47.35,-21.5
Boophis_luteus_3_KF609773_ZCMV9914_,47.35,-21.5
Boophis_luteus_3_KF609774_ZCMV9925_,47.35,-21.5
Boophis_luteus_3_KF609775_ZCMV9929_,47.35,-21.5
Boophis_luteus_3_KF609776_ZCMV9935_,47.35,-21.5
Boophis_luteus_3_KF609777_ZCMV9942_,47.35,-21.5
Boophis_luteus_3_KT240994_JCR3247_,47.35,-21.5
Boophis_luteus_5_DQ792476_LR160_,48.4587,-18.835
Boophis_luteus_5_DQ792477_LR189_,48.4587,-18.835
Boophis_luteus_5_DQ792478_LR218_,48.4587,-18.835
Boophis_luteus_5_DQ792479_LR227_,48.4587,-18.835
Boophis_luteus_5_DQ792480_LR238_,48.4587,-18.835
Boophis_luteus_5_DQ792482_LR250_,48.4587,-18.835
Boophis_luteus_5_DQ792483_LR267_,48.4587,-18.835
